"OP_CARRIER","DEP_TIME","DEP_DELAY","ORIGIN","DEST","DISTANCE"
"G4","2024-07-22T14:17:00Z","0","KSDF","KAUS","947"
"DL","2024-07-22T14:18:00Z","0","KATL","KAUS","812"
"WN","2024-07-22T13:55:00Z","0","KRDU","KAUS","1206"
"AA","2024-07-22T12:00:00Z","2040","KBOS","KAUS","1698"
"DL","2024-07-22T14:07:00Z","0","KMSP","KAUS","1044"
"DL","2024-07-22T13:44:00Z","0","KLAX","KAUS","1241"
"WN","2024-07-22T15:00:00Z","0","KSTL","KAUS","742"
"WN","2024-07-22T14:25:00Z","0","KLAS","KAUS","1114"
"WN","2024-07-22T15:40:00Z","0","KMSY","KAUS","444"
"UA","2024-07-22T14:15:00Z","0","KORD","KAUS","979"
"AA","2024-07-22T13:37:00Z","0","KPHL","KAUS","1430"
"WN","2024-07-22T14:00:00Z","0","KBWI","KAUS","1397"
"AA","2024-07-22T16:30:00Z","0","KDFW","KAUS","191"
"WN","2024-07-22T14:30:00Z","0","KBUR","KAUS","1292"
"WN","2024-07-22T15:30:00Z","0","KDEN","KAUS","777"
"AS","2024-07-22T14:00:00Z","0","KSFO","KAUS","1566"
"WN","2024-07-22T15:05:00Z","0","KCMH","KAUS","1121"
"OO","2024-07-22T15:35:00Z","0","KBNA","KAUS","756"
"WN","2024-07-22T14:55:00Z","0","KLGB","KAUS","1252"
"WN","2024-07-22T15:20:00Z","0","KSLC","KAUS","1117"
"AA","2024-07-22T15:00:00Z","0","KLAX","KAUS","1241"
"B6","2024-07-22T14:00:00Z","0","KBOS","KAUS","1698"
