ident,ident_icao,ident_iata,actual_runway_off,actual_runway_on,fa_flight_id,operator,operator_icao,operator_iata,flight_number,registration,atc_ident,inbound_fa_flight_id,blocked,diverted,cancelled,position_only,origin_code,origin_code_icao,origin_code_iata,origin_code_lid,origin_timezone,origin_name,origin_city,origin_airport_info_url,destination_code,destination_code_icao,destination_code_iata,destination_code_lid,destination_timezone,destination_name,destination_city,destination_airport_info_url,departure_delay,arrival_delay,filed_ete,progress_percent,status,aircraft_type,route_distance,filed_airspeed,filed_altitude,route,baggage_claim,seats_cabin_business,seats_cabin_coach,seats_cabin_first,gate_origin,gate_destination,terminal_origin,terminal_destination,type,scheduled_out,estimated_out,actual_out,scheduled_off,estimated_off,actual_off,scheduled_on,estimated_on,actual_on,scheduled_in,estimated_in,actual_in
AAL2452,AAL2452,AA2452,25R,,AAL2452-1720813095-airline-363p,AAL,AAL,AA,2452,N804AW,,AAL2245-1720796804-airline-2351p,False,False,False,False,KPHX,KPHX,PHX,PHX,America/Phoenix,Phoenix Sky Harbor Intl,Phoenix,/airports/KPHX,KAUS,KAUS,AUS,AUS,America/Chicago,Austin-Bergstrom Intl,Austin,/airports/KAUS,-300,-1200,7020,76,En Route / On Time,A319,871,455,370,ECLPS1 PHASE ELP J183 FUSCO DILLO LAIKS3,,,,,A9,24,4,,Airline,2024-07-14T19:35:00Z,2024-07-14T19:35:00Z,2024-07-14T19:30:00Z,2024-07-14T19:45:00Z,2024-07-14T19:41:55Z,2024-07-14T19:41:55Z,2024-07-14T21:42:00Z,2024-07-14T21:33:00Z,,2024-07-14T22:01:00Z,2024-07-14T21:41:00Z,
AAL795,AAL795,AA795,,,AAL795-1720793196-airline-3035p,AAL,AAL,AA,795,N195UW,,AAL1112-1720789302-schedule-1442p,False,False,False,False,KDFW,KDFW,DFW,DFW,America/Chicago,Dallas-Fort Worth Intl,Dallas-Fort Worth,/airports/KDFW,KAUS,KAUS,AUS,AUS,America/Chicago,Austin-Bergstrom Intl,Austin,/airports/KAUS,5760,5040,1980,0,Scheduled / Delayed,A21N,191,469,220,JASPA7 WINDU SEWZY6,,,,,D38,23,D,,Airline,2024-07-14T19:15:00Z,2024-07-14T20:51:00Z,,2024-07-14T19:25:00Z,2024-07-14T21:01:00Z,,2024-07-14T19:58:00Z,2024-07-14T21:34:00Z,,2024-07-14T20:20:00Z,2024-07-14T21:44:00Z,
AAL843,AAL843,AA843,,,AAL843-1720818374-schedule-258p,AAL,AAL,AA,843,N765US,,AAL1161-1720789302-schedule-1358p,False,False,False,False,KDFW,KDFW,DFW,DFW,America/Chicago,Dallas-Fort Worth Intl,Dallas-Fort Worth,/airports/KDFW,KAUS,KAUS,AUS,AUS,America/Chicago,Austin-Bergstrom Intl,Austin,/airports/KAUS,-240,-1020,1680,0,Taxiing / Left Gate,A319,191,399,260,JASPA7 WINDU SEWZY6,,,,,C29,26,C,,Airline,2024-07-14T21:05:00Z,2024-07-14T21:01:00Z,2024-07-14T21:01:00Z,2024-07-14T21:15:00Z,2024-07-14T21:15:00Z,,2024-07-14T21:43:00Z,2024-07-14T21:43:00Z,,2024-07-14T22:10:00Z,2024-07-14T21:53:00Z,
UAL650,UAL650,UA650,25,,UAL650-1720769943-fa-612p,UAL,UAL,UA,650,N62849,,UAL694-1720724353-fa-1029p,False,False,False,False,KDEN,KDEN,DEN,DEN,America/Denver,Denver Intl,Denver,/airports/KDEN,KAUS,KAUS,AUS,AUS,America/Chicago,Austin-Bergstrom Intl,Austin,/airports/KAUS,240,-120,6600,57,En Route / On Time,B739,807,441,310,SLEEK2 SLEEK PNH J17 ABI DILLO LAIKS3,,,,20,B26,27,,,Airline,2024-07-14T19:50:00Z,2024-07-14T19:50:00Z,2024-07-14T19:54:00Z,2024-07-14T20:00:00Z,2024-07-14T20:07:54Z,2024-07-14T20:07:54Z,2024-07-14T21:50:00Z,2024-07-14T21:50:00Z,,2024-07-14T22:02:00Z,2024-07-14T22:00:00Z,
SWA4863,SWA4863,WN4863,08R,,SWA4863-1720810470-airline-49p,SWA,SWA,WN,4863,N474WN,,SWA1317-1720784119-airline-826p,False,False,False,False,KMIA,KMIA,MIA,MIA,America/New_York,Miami Intl,Miami,/airports/KMIA,KAUS,KAUS,AUS,AUS,America/Chicago,Austin-Bergstrom Intl,Austin,/airports/KAUS,540,780,9240,70,En Route / On Time,B737,1279,456,380,MAYNR2 MAYNR MARCI LEV LCH WEEED WLEEE7,,,,,G15,22,,,Airline,2024-07-14T18:50:00Z,2024-07-14T18:56:00Z,2024-07-14T18:59:00Z,2024-07-14T19:00:00Z,2024-07-14T19:16:42Z,2024-07-14T19:16:42Z,2024-07-14T21:34:00Z,2024-07-14T21:53:00Z,,2024-07-14T21:50:00Z,2024-07-14T22:03:00Z,
VIV650,VIV650,VB650,,,VIV650-1720818374-schedule-86p,VIV,VIV,VB,650,XA-VAY,,VIV671-1720804843-schedule-2343p,False,False,False,False,MMMY,MMMY,MTY,,America/Monterrey,General Mariano Escobedo Int'l,Monterrey,/airports/MMMY,KAUS,KAUS,AUS,AUS,America/Chicago,Austin-Bergstrom Intl,Austin,/airports/KAUS,0,-735,3120,0,Scheduled,A320,369,449,390,URTAN1A URTAN UJ11E NLD HFMAN DXEEE3,,,,,,,,,Airline,2024-07-14T20:55:00Z,2024-07-14T20:55:00Z,,2024-07-14T21:05:00Z,2024-07-14T21:05:00Z,,2024-07-14T21:57:00Z,2024-07-14T21:57:45Z,,2024-07-14T22:20:00Z,2024-07-14T22:07:45Z,
SWA2301,SWA2301,WN2301,17R,,SWA2301-1720810470-airline-100p,SWA,SWA,WN,2301,N947WN,,SWA3839-1720795797-airline-144p,False,False,False,False,KSMF,KSMF,SMF,SMF,America/Los_Angeles,Sacramento Intl,Sacramento,/airports/KSMF,KAUS,KAUS,AUS,AUS,America/Chicago,Austin-Bergstrom Intl,Austin,/airports/KAUS,-60,240,10920,68,En Route / On Time,B737,1513,455,390,SCTWN4 RALEY JSICA ILC BCE KD39Q CNX J15 CME HOB UCOKA LAIKS3,,,,,B15,20,B,,Airline,2024-07-14T18:50:00Z,2024-07-14T18:50:00Z,2024-07-14T18:49:00Z,2024-07-14T19:00:00Z,2024-07-14T19:02:19Z,2024-07-14T19:02:19Z,2024-07-14T22:02:00Z,2024-07-14T22:04:00Z,,2024-07-14T22:10:00Z,2024-07-14T22:14:00Z,
SKW4063,SKW4063,OO4063,,,SKW4063-1720805780-schedule-727p,SKW,SKW,OO,4063,N297SY,,SKW4058-1720738752-schedule-606p,False,False,False,False,KMAF,KMAF,MAF,MAF,America/Chicago,Midland Intl Air and Space Port,Midland,/airports/KMAF,KAUS,KAUS,AUS,AUS,America/Chicago,Austin-Bergstrom Intl,Austin,/airports/KAUS,12840,11940,2880,0,Scheduled / Delayed,E75L,294,414,270,SJT DILLO LAIKS3,,,,,5,9,,,Airline,2024-07-14T17:32:00Z,2024-07-14T21:06:00Z,,2024-07-14T17:42:00Z,2024-07-14T21:16:00Z,,2024-07-14T18:30:00Z,2024-07-14T22:04:00Z,,2024-07-14T18:55:00Z,2024-07-14T22:14:00Z,
UAL299,UAL299,UA299,,,UAL299-1720776689-fa-1785p,UAL,UAL,UA,299,N822UA,UAL299J,UAL1485-1720746187-fa-492p,False,False,False,False,KIAH,KIAH,IAH,IAH,America/Chicago,Houston Bush Int'ctl,Houston,/airports/KIAH,KAUS,KAUS,AUS,AUS,America/Chicago,Austin-Bergstrom Intl,Austin,/airports/KAUS,0,-240,2100,0,Scheduled,A319,154,370,160,BNDTO6 MNURE WLEEE7,,,,12,C30,29,C,,Airline,2024-07-14T21:20:00Z,2024-07-14T21:20:00Z,,2024-07-14T21:30:00Z,2024-07-14T21:30:00Z,,2024-07-14T22:05:00Z,2024-07-14T22:05:00Z,,2024-07-14T22:19:00Z,2024-07-14T22:15:00Z,
DAL2671,DAL2671,DL2671,16L,,DAL2671-1720813543-schedule-86p,DAL,DAL,DL,2671,N101DU,,DAL1198-1720803891-schedule-2227p,False,False,False,False,KSLC,KSLC,SLC,SLC,America/Denver,Salt Lake City Intl,Salt Lake City,/airports/KSLC,KAUS,KAUS,AUS,AUS,America/Chicago,Austin-Bergstrom Intl,Austin,/airports/KAUS,-300,480,8280,56,En Route / On Time,BCS1,1148,459,370,ZIONZ1 KIMMR TXO LBB DILLO LAIKS3,,,,,A31,7,,,Airline,2024-07-14T19:41:00Z,2024-07-14T19:41:00Z,2024-07-14T19:36:00Z,2024-07-14T19:51:00Z,2024-07-14T19:49:23Z,2024-07-14T19:49:23Z,2024-07-14T22:09:00Z,2024-07-14T22:06:00Z,,2024-07-14T22:30:00Z,2024-07-14T22:38:00Z,
